,blue,green,red,label
427,68,84,148,red
428,68,84,148,red
429,68,84,148,red
430,68,84,148,red
431,68,84,148,red
432,68,84,148,red
433,68,84,148,red
434,68,84,148,red
435,68,84,148,red
436,68,84,148,red
437,68,84,148,red
438,68,84,148,red
439,68,84,148,red
440,68,84,148,red
441,68,84,148,red
442,68,84,148,red
443,68,84,148,red
444,68,84,148,red
445,68,84,148,red
446,68,84,148,red
447,68,84,148,red
448,68,84,148,red
449,68,84,148,red
450,68,84,148,red
451,68,84,148,red
452,68,84,148,red
453,68,84,148,red
454,68,84,148,red
455,68,84,148,red
456,68,84,148,red
457,68,84,148,red
458,68,84,148,red
459,68,84,148,red
460,68,84,148,red
461,68,84,148,red
462,68,84,148,red
463,68,84,148,red
464,68,84,148,red
465,68,84,148,red
466,68,84,148,red
467,68,84,148,red
468,68,84,148,red
469,68,84,148,red
470,68,84,148,red
471,68,84,148,red
472,68,84,148,red
473,68,84,148,red
474,68,84,148,red
475,68,84,148,red
476,68,84,148,red
477,68,84,148,red
478,68,84,148,red
479,68,84,148,red
480,68,84,148,red
481,68,84,148,red
482,68,84,148,red
483,68,84,148,red
484,68,84,148,red
485,68,84,148,red
486,68,84,148,red
487,68,84,148,red
488,68,84,148,red
489,68,84,148,red
490,68,84,148,red
491,68,84,148,red
492,68,84,148,red
493,68,84,148,red
494,68,84,148,red
495,68,84,148,red
496,68,84,148,red
497,68,84,148,red
498,68,84,148,red
499,68,84,148,red
500,68,84,148,red
501,68,84,148,red
502,68,84,148,red
503,68,84,148,red
504,68,84,148,red
505,68,84,148,red
506,68,84,148,red
507,68,84,148,red
508,68,84,148,red
509,68,84,148,red
510,68,84,148,red
511,68,84,148,red
512,68,84,148,red
513,68,84,148,red
514,68,84,148,red
515,68,84,148,red
516,68,84,148,red
517,68,84,148,red
518,68,84,148,red
519,68,84,148,red
520,68,84,148,red
521,68,84,148,red
522,68,84,148,red
523,68,84,148,red
524,68,84,148,red
525,68,84,148,red
526,68,84,148,red
527,68,84,148,red
528,68,84,148,red
529,68,84,148,red
530,68,84,148,red
531,68,84,148,red
532,68,84,148,red
533,68,84,148,red
534,68,84,148,red
535,68,84,148,red
536,68,84,148,red
537,68,84,148,red
538,68,84,148,red
539,68,84,148,red
540,68,84,148,red
541,68,84,148,red
542,68,84,148,red
543,68,84,148,red
544,68,84,148,red
545,68,84,148,red
546,68,84,148,red
547,68,84,148,red
548,68,84,148,red
549,68,84,148,red
550,68,84,148,red
551,68,84,148,red
552,68,84,148,red
553,68,84,148,red
554,68,84,148,red
555,68,84,148,red
556,68,84,148,red
557,68,84,148,red
558,68,84,148,red
559,68,84,148,red
560,68,84,148,red
561,68,84,148,red
562,68,84,148,red
563,68,84,148,red
564,68,84,148,red
565,68,84,148,red
566,68,84,148,red
567,68,84,148,red
568,68,84,148,red
569,68,84,148,red
570,68,84,148,red
571,68,84,148,red
572,68,84,148,red
573,68,84,148,red
574,68,84,148,red
575,68,84,148,red
576,68,84,148,red
577,68,84,148,red
578,68,84,148,red
579,68,84,148,red
580,68,84,148,red
581,68,84,148,red
582,68,84,148,red
583,68,84,148,red
584,68,84,148,red
585,68,84,148,red
586,68,84,148,red
587,68,84,148,red
588,68,84,148,red
589,68,84,148,red
590,68,84,148,red
591,68,84,148,red
592,68,84,148,red
593,68,84,148,red
594,68,84,148,red
595,68,84,148,red
596,68,84,148,red
597,68,84,148,red
598,68,84,148,red
599,68,84,148,red
600,68,84,148,red
601,68,84,148,red
602,68,84,148,red
603,68,84,148,red
604,68,84,148,red
605,68,84,148,red
606,68,84,148,red
607,68,84,148,red
608,68,84,148,red
609,68,84,148,red
610,68,84,148,red
611,68,84,148,red
612,68,84,148,red
613,68,84,148,red
614,68,84,148,red
615,68,84,148,red
616,68,84,148,red
617,68,84,148,red
618,68,84,148,red
619,68,84,148,red
620,68,84,148,red
621,68,84,148,red
622,68,84,148,red
623,68,84,148,red
624,68,84,148,red
625,68,84,148,red
626,68,84,148,red
627,68,84,148,red
628,68,84,148,red
629,68,84,148,red
630,68,84,148,red
631,68,84,148,red
632,68,84,148,red
633,68,84,148,red
634,68,84,148,red
635,68,84,148,red
636,68,84,148,red
637,68,84,148,red
638,68,84,148,red
639,68,84,148,red
640,68,84,148,red
641,68,84,148,red
642,68,84,148,red
643,68,84,148,red
644,68,84,148,red
645,68,84,148,red
646,68,84,148,red
647,68,84,148,red
648,68,84,148,red
649,68,84,148,red
650,68,84,148,red
651,68,84,148,red
652,68,84,148,red
653,68,84,148,red
654,68,84,148,red
655,68,84,148,red
656,68,84,148,red
657,68,84,148,red
658,68,84,148,red
659,68,84,148,red
660,68,84,148,red
661,68,84,148,red
662,68,84,148,red
663,68,84,148,red
664,68,84,148,red
665,68,84,148,red
666,68,84,148,red
667,68,84,148,red
668,68,84,148,red
669,68,84,148,red
670,68,84,148,red
671,68,84,148,red
672,68,84,148,red
673,68,84,148,red
674,68,84,148,red
675,68,84,148,red
676,68,84,148,red
677,68,84,148,red
678,68,84,148,red
679,68,84,148,red
680,68,84,148,red
681,68,84,148,red
682,68,84,148,red
683,68,84,148,red
684,68,84,148,red
685,68,84,148,red
686,68,84,148,red
687,68,84,148,red
688,68,84,148,red
689,68,84,148,red
690,68,84,148,red
691,68,84,148,red
692,68,84,148,red
693,68,84,148,red
694,68,84,148,red
695,68,84,148,red
696,68,84,148,red
697,68,84,148,red
698,68,84,148,red
699,68,84,148,red
700,68,84,148,red
701,68,84,148,red
702,68,84,148,red
703,68,84,148,red
704,68,84,148,red
705,68,84,148,red
706,68,84,148,red
707,68,84,148,red
708,68,84,148,red
709,68,84,148,red
710,68,84,148,red
711,68,84,148,red
712,68,84,148,red
713,68,84,148,red
714,68,84,148,red
715,68,84,148,red
716,68,84,148,red
717,68,84,148,red
718,68,84,148,red
719,68,84,148,red
720,68,84,148,red
721,68,84,148,red
722,68,84,148,red
723,68,84,148,red
724,68,84,148,red
725,68,84,148,red
726,68,84,148,red
727,68,84,148,red
728,68,84,148,red
729,68,84,148,red
730,68,84,148,red
731,68,84,148,red
732,68,84,148,red
733,68,84,148,red
734,68,84,148,red
735,68,84,148,red
736,68,84,148,red
737,68,84,148,red
738,68,84,148,red
739,68,84,148,red
740,68,84,148,red
741,68,84,148,red
742,68,84,148,red
743,68,84,148,red
744,68,84,148,red
745,68,84,148,red
746,68,84,148,red
747,68,84,148,red
748,68,84,148,red
749,68,84,148,red
750,68,84,148,red
751,68,84,148,red
752,68,84,148,red
753,68,84,148,red
754,68,84,148,red
755,68,84,148,red
756,68,84,148,red
757,68,84,148,red
758,68,84,148,red
759,68,84,148,red
760,68,84,148,red
761,68,84,148,red
762,68,84,148,red
763,68,84,148,red
764,68,84,148,red
765,68,84,148,red
766,68,84,148,red
767,68,84,148,red
768,68,84,148,red
769,68,84,148,red
770,68,84,148,red
771,68,84,148,red
772,68,84,148,red
